Trial;time;x;y
1;507289;960.2;529.8
1;507290;960.2;529.3
1;507291;960.2;528.6
1;507292;960.1;527.8
1;507293;960.3;527.2
1;507294;960.8;527.8
1;507295;961.3;528.5
1;507296;961.5;529.3
1;507297;961.5;529.2
1;507298;961.3;529.3
1;507299;961.2;529.5
1;507300;961.1;529.6
1;507301;961.5;529.5
1;507302;961.9;530.1
1;507303;962;530.8
1;507304;961.7;531.4
1;507305;961.4;531.5
1;507306;961.6;531.4
1;507307;961.7;530.9
1;507308;961.8;529.7
1;507309;961.7;528.5
1;507310;961.6;528.2
1;507311;961.6;528.5
1;507312;961.8;528.9
1;507313;962.1;528.9
1;507314;962.4;528.4
1;507315;962.8;527.9
1;507316;963.1;527.5
1;507317;963.4;528.5
1;507318;963.6;529.6
1;507319;963.6;530.6
1;507320;963.3;530.7
1;507321;963.1;530.8
1;507322;963;530.9
1;507323;962.9;530.3
1;507324;962.5;529.8
1;507325;962;529.1
1;507326;961.3;528.9
1;507327;961.1;528.6
1;507328;960.9;528.7
1;507329;961;529
1;507330;961;529.5
1;507331;961.7;529.6
1;507332;962.4;530.2
1;507333;962.9;530.6
1;507334;962.7;530.6
1;507335;962.5;530
1;507336;962.1;529.3
1;507337;961.7;529.1
1;507338;961.4;529.1
1;507339;961.4;529.2
1;507340;961.5;528.9
1;507341;962.5;528.4
1;507342;963.4;528.4
1;507343;964.2;528.7
1;507344;963.9;529.3
1;507345;963.7;529.5
1;507346;963.5;529.2
1;507347;963.5;528.7
1;507348;963.5;528.3
1;507349;963.6;528.5
1;507350;963.7;528.7
1;507351;963.7;528.9
1;507352;963.7;528.9
1;507353;963.8;529.5
1;507354;963.8;530.1
1;507355;963.7;530.7
1;507356;963.6;530.6
1;507357;963.6;530.4
1;507358;963.1;530.3
1;507359;962.4;530.3
1;507360;961.7;530
1;507361;962;529.6
1;507362;962.9;529
1;507363;964.2;528.7
1;507364;964.9;529.2
1;507365;965.1;529.8
1;507366;965;530.5
1;507367;964.8;530.4
1;507368;964.3;530.3
1;507369;963.7;530.3
1;507370;963.2;530.8
1;507371;963.2;531.3
1;507372;963.2;531.7
1;507373;963.2;531.6
1;507374;963.4;531.1
1;507375;963.5;530.7
1;507376;963.6;530
1;507377;963.9;529.6
1;507378;964.2;529.1
1;507379;964.2;529.1
1;507380;963.9;529.4
1;507381;963.6;529.9
1;507382;963.7;530.4
1;507383;963.7;530.5
1;507384;963.8;530.2
1;507385;963.8;529.9
1;507386;963.5;529.8
1;507387;963.2;529.9
1;507388;962.9;530.8
1;507389;962.9;532
1;507390;963;533.2
1;507391;963;533.7
1;507392;962.9;533.9
1;507393;962.3;534.1
1;507394;961.7;532.9
1;507395;961.2;531.6
1;507396;961;530.2
1;507397;960;530.3
1;507398;958.4;529.5
1;507399;956.8;528.6
1;507400;955.9;527.6
1;507401;955.7;527.5
1;507402;955.4;527.5
1;507403;955.2;527.4
1;507404;954.8;526.5
1;507405;954.5;525.5
1;507406;955;525.1
1;507407;955.8;525.6
1;507408;956.6;527.1
1;507409;956.8;528.5
1;507410;957.1;530.7
1;507411;957.2;531.8
1;507412;957.9;532.6
1;507413;958.6;532.6
1;507414;959.3;532.3
1;507415;959.8;531.5
1;507416;960.3;530.8
1;507417;960.7;530.8
1;507418;960.3;531.2
1;507419;959.9;531.7
1;507420;959.6;531.9
1;507421;959.5;531.9
1;507422;959.5;531.9
1;507423;959.6;531.8
1;507424;959.7;531.9
1;507425;959.4;532
1;507426;959.1;532.1
1;507427;958.9;532.5
1;507428;959;533.1
1;507429;959;533.8
1;507430;958.9;533.9
1;507431;958.8;533.8
1;507432;958.9;533
1;507433;958.4;532.2
1;507434;957.7;531.7
1;507435;957.4;531.7
1;507436;957.9;531.8
1;507437;958.5;531.9
1;507438;958.7;532.1
1;507439;958.8;532.6
1;507440;958.8;533.1
1;507441;958.7;533.5
1;507442;958.5;533.6
1;507443;958.3;533.6
1;507444;958.6;533.6
1;507445;959;533.5
1;507446;958.9;533.5
1;507447;958.4;533.5
1;507448;957.9;533.8
1;507449;957.8;533.9
1;507450;957.8;534.1
1;507451;957.8;533.8
1;507452;957.9;533.5
1;507453;957.5;533.4
1;507454;957.2;533.6
1;507455;957.1;534.1
1;507456;957.3;534.4
1;507457;957.5;534.7
1;507458;957.7;534.7
1;507459;958;534.6
1;507460;958.2;534.3
1;507461;958.2;533.9
1;507462;958.2;533.1
1;507463;958.2;532.4
1;507464;958.2;531.9
1;507465;958.6;531.8
